# Matter power spectrum P(k) at redshift z=1.297
# for k=1.05246e-05 to 30.0293 h/Mpc,
# number of wavenumbers equal to 616
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052458257288e-05       1.470750304328e+01 
       1.076973159350e-05       1.503688545910e+01 
       1.102059086838e-05       1.537364455151e+01 
       1.127729340640e-05       1.571794749631e+01 
       1.153997531467e-05       1.606995759453e+01 
       1.180877587059e-05       1.642985263359e+01 
       1.208383759579e-05       1.679780978837e+01 
       1.236530633163e-05       1.717400266036e+01 
       1.265333131656e-05       1.755862784074e+01 
       1.294806526524e-05       1.795186187065e+01 
       1.324966444952e-05       1.835389856768e+01 
       1.355828878126e-05       1.876494735491e+01 
       1.387410189719e-05       1.918519390741e+01 
       1.419727124558e-05       1.961485533307e+01 
       1.452796817511e-05       2.005414354577e+01 
       1.486636802567e-05       2.050326531228e+01 
       1.521265022133e-05       2.096244510538e+01 
       1.556699836551e-05       2.143190613595e+01 
       1.592960033827e-05       2.191188450569e+01 
       1.630064839599e-05       2.240260799092e+01 
       1.668033927324e-05       2.290432402721e+01 
       1.706887428718e-05       2.341727415001e+01 
       1.746645944419e-05       2.394171268644e+01 
       1.787330554919e-05       2.447789638332e+01 
       1.828962831738e-05       2.502608674128e+01 
       1.871564848860e-05       2.558655375167e+01 
       1.915159194437e-05       2.615957236060e+01 
       1.959768982770e-05       2.674542342653e+01 
       2.005417866557e-05       2.734439446268e+01 
       2.052130049443e-05       2.795677921463e+01 
       2.099930298844e-05       2.858287741443e+01 
       2.148843959085e-05       2.922299698877e+01 
       2.198896964836e-05       2.987745162820e+01 
       2.250115854864e-05       3.054656217834e+01 
       2.302527786102e-05       3.123065733345e+01 
       2.356160548050e-05       3.193007087777e+01 
       2.411042577508e-05       3.264514756997e+01 
       2.467202973655e-05       3.337623791759e+01 
       2.524671513475e-05       3.412369992522e+01 
       2.583478667550e-05       3.488790098942e+01 
       2.643655616211e-05       3.566921618299e+01 
       2.705234266072e-05       3.646802481616e+01 
       2.768247266949e-05       3.728472371769e+01 
       2.832728029170e-05       3.811971004341e+01 
       2.898710741287e-05       3.897339486631e+01 
       2.966230388207e-05       3.984619648597e+01 
       3.035322769743e-05       4.073854250105e+01 
       3.106024519588e-05       4.165087045428e+01 
       3.178373124747e-05       4.258362808494e+01 
       3.252406945407e-05       4.353727256216e+01 
       3.328165235280e-05       4.451227160023e+01 
       3.405688162414e-05       4.550910284656e+01 
       3.485016830492e-05       4.652825517399e+01 
       3.566193300623e-05       4.757022821268e+01 
       3.649260613646e-05       4.863553294526e+01 
       3.734262812950e-05       4.972469136762e+01 
       3.821244967827e-05       5.083823755990e+01 
       3.910253197365e-05       5.197671727259e+01 
       4.001334694907e-05       5.314068874651e+01 
       4.094537753068e-05       5.433072231262e+01 
       4.189911789344e-05       5.554740096267e+01 
       4.287507372310e-05       5.679132216186e+01 
       4.387376248437e-05       5.806309381900e+01 
       4.489571369525e-05       5.936334043419e+01 
       4.594146920779e-05       6.069269900144e+01 
       4.701158349541e-05       6.205182038161e+01 
       4.810662394688e-05       6.344137106050e+01 
       4.922717116712e-05       6.486203167378e+01 
       5.037381928512e-05       6.631449831635e+01 
       5.154717626888e-05       6.779948260882e+01 
       5.274786424781e-05       6.931771140683e+01 
       5.397651984256e-05       7.086992949857e+01 
       5.523379450260e-05       7.245689637341e+01 
       5.652035485158e-05       7.407938943905e+01 
       5.783688304084e-05       7.573820342595e+01 
       5.918407711106e-05       7.743415007893e+01 
       6.056265136235e-05       7.916806019635e+01 
       6.197333673303e-05       8.094078308715e+01 
       6.341688118717e-05       8.275318581584e+01 
       6.489405011113e-05       8.460615611732e+01 
       6.640562671944e-05       8.650060096734e+01 
       6.795241247001e-05       8.843744748694e+01 
       6.953522748913e-05       9.041764290329e+01 
       7.115491100628e-05       9.244215672876e+01 
       7.281232179909e-05       9.451197856943e+01 
       7.450833864870e-05       9.662812237614e+01 
       7.624386080569e-05       9.879162196178e+01 
       7.801980846689e-05       1.010035356416e+02 
       7.983712326326e-05       1.032649452832e+02 
       8.169676875915e-05       1.055769559519e+02 
       8.359973096322e-05       1.079406978725e+02 
       8.554701885122e-05       1.103573264607e+02 
       8.753966490096e-05       1.128280222950e+02 
       8.957872563976e-05       1.153539924347e+02 
       9.166528220460e-05       1.179364710863e+02 
       9.380044091541e-05       1.205767189093e+02 
       9.598533386158e-05       1.232760249680e+02 
       9.822111950229e-05       1.260357071726e+02 
       1.005089832807e-04       1.288571123182e+02 
       1.028501382524e-04       1.317416169057e+02 
       1.052458257288e-04       1.346906276009e+02 
       1.076973159350e-04       1.377055827619e+02 
       1.102059086838e-04       1.407879520733e+02 
       1.127729340640e-04       1.439392377685e+02 
       1.153997531467e-04       1.471609749338e+02 
       1.180877587059e-04       1.504547333880e+02 
       1.208383759579e-04       1.538221160451e+02 
       1.236530633163e-04       1.572647624936e+02 
       1.265333131656e-04       1.607843472819e+02 
       1.294806526524e-04       1.643825823550e+02 
       1.324966444952e-04       1.680612167467e+02 
       1.355828878126e-04       1.718220383859e+02 
       1.387410189719e-04       1.756668738347e+02 
       1.419727124558e-04       1.795975897860e+02 
       1.452796817511e-04       1.836160936653e+02 
       1.486636802567e-04       1.877243346566e+02 
       1.521265022133e-04       1.919243040802e+02 
       1.556699836551e-04       1.962180370057e+02 
       1.592960033827e-04       2.006076126559e+02 
       1.630064839599e-04       2.050951549998e+02 
       1.668033927324e-04       2.096828343136e+02 
       1.706887428718e-04       2.143728677504e+02 
       1.746645944419e-04       2.191675205747e+02 
       1.787330554919e-04       2.240691065993e+02 
       1.828962831738e-04       2.290799895114e+02 
       1.871564848860e-04       2.342025839666e+02 
       1.915159194437e-04       2.394393563888e+02 
       1.959768982770e-04       2.447928258082e+02 
       2.005417866557e-04       2.502655650900e+02 
       2.052130049443e-04       2.558602020674e+02 
       2.099930298844e-04       2.615794204171e+02 
       2.148843959085e-04       2.674259606250e+02 
       2.198896964836e-04       2.734026211937e+02 
       2.250115854864e-04       2.795122598892e+02 
       2.302527786102e-04       2.857577944462e+02 
       2.356160548050e-04       2.921422036661e+02 
       2.411042577508e-04       2.986685291797e+02 
       2.467202973655e-04       3.053398753589e+02 
       2.524671513475e-04       3.121594119139e+02 
       2.583478667550e-04       3.191303734612e+02 
       2.643655616211e-04       3.262560619049e+02 
       2.705234266072e-04       3.335398469431e+02 
       2.768247266949e-04       3.409851672416e+02 
       2.832728029170e-04       3.485955317958e+02 
       2.898710741286e-04       3.563745205885e+02 
       2.966230388207e-04       3.643257862542e+02 
       3.035322769743e-04       3.724530552700e+02 
       3.106024519588e-04       3.807601283496e+02 
       3.178373124747e-04       3.892508819549e+02 
       3.252406945407e-04       3.979292698033e+02 
       3.328165235280e-04       4.067993234907e+02 
       3.405688162414e-04       4.158651535578e+02 
       3.485016830492e-04       4.251309508606e+02 
       3.566193300623e-04       4.346009874976e+02 
       3.649260613646e-04       4.442796179736e+02 
       3.734262812950e-04       4.541712794971e+02 
       3.821244967827e-04       4.642804942696e+02 
       3.910253197365e-04       4.746118696192e+02 
       4.001334694907e-04       4.851700987304e+02 
       4.094537753068e-04       4.959599624310e+02 
       4.189911789344e-04       5.069863294102e+02 
       4.287507372310e-04       5.182541572677e+02 
       4.387376248437e-04       5.297684932672e+02 
       4.489571369525e-04       5.415344759510e+02 
       4.594146920779e-04       5.535573341983e+02 
       4.701158349541e-04       5.658423892226e+02 
       4.810662394688e-04       5.783950553304e+02 
       4.922717116712e-04       5.912208396705e+02 
       5.037381928512e-04       6.043253435185e+02 
       5.154717626888e-04       6.177142626738e+02 
       5.274786424781e-04       6.313933873353e+02 
       5.397651984256e-04       6.453686036509e+02 
       5.523379450260e-04       6.596458927717e+02 
       5.652035485158e-04       6.742313319629e+02 
       5.783688304084e-04       6.891310949852e+02 
       5.918407711106e-04       7.043514515057e+02 
       6.056265136235e-04       7.198987674768e+02 
       6.197333673303e-04       7.357795055213e+02 
       6.341688118717e-04       7.520002242324e+02 
       6.489405011113e-04       7.685675787814e+02 
       6.640562671944e-04       7.854883208160e+02 
       6.795241247001e-04       8.027692962007e+02 
       6.953522748913e-04       8.204174477546e+02 
       7.115491100628e-04       8.384398114772e+02 
       7.281232179909e-04       8.568435193046e+02 
       7.450833864870e-04       8.756357956604e+02 
       7.624386080569e-04       8.948239578713e+02 
       7.801980846689e-04       9.144154153904e+02 
       7.983712326326e-04       9.344176691052e+02 
       8.169676875915e-04       9.548383077237e+02 
       8.359973096322e-04       9.756850104456e+02 
       8.554701885122e-04       9.969655427945e+02 
       8.753966490096e-04       1.018687754247e+03 
       8.957872563976e-04       1.040859579827e+03 
       9.166528220460e-04       1.063489032014e+03 
       9.380044091541e-04       1.086584208164e+03 
       9.598533386158e-04       1.110153276622e+03 
       9.822111950229e-04       1.134204483741e+03 
       1.005089832807e-03       1.158746140222e+03 
       1.028501382524e-03       1.183786630740e+03 
       1.052458257287e-03       1.209334397981e+03 
       1.076973159350e-03       1.235397942230e+03 
       1.102059086838e-03       1.261985823298e+03 
       1.127729340640e-03       1.289106644736e+03 
       1.153997531467e-03       1.316769052584e+03 
       1.180877587059e-03       1.344981729726e+03 
       1.208383759579e-03       1.373753391793e+03 
       1.236530633163e-03       1.403092769312e+03 
       1.265333131656e-03       1.433008612707e+03 
       1.294806526524e-03       1.463509674216e+03 
       1.324966444952e-03       1.494604707844e+03 
       1.355828878126e-03       1.526302447337e+03 
       1.387410189719e-03       1.558608505635e+03 
       1.419727124558e-03       1.591533225809e+03 
       1.452796817511e-03       1.625086479849e+03 
       1.486636802567e-03       1.659276811072e+03 
       1.521265022133e-03       1.694112699643e+03 
       1.556699836551e-03       1.729602534597e+03 
       1.592960033827e-03       1.765754607048e+03 
       1.630064839599e-03       1.802577082313e+03 
       1.668033927324e-03       1.840078024351e+03 
       1.706887428718e-03       1.878265329937e+03 
       1.746645944419e-03       1.917146742104e+03 
       1.787330554919e-03       1.956729830709e+03 
       1.828962831738e-03       1.997022012732e+03 
       1.871564848860e-03       2.038030458016e+03 
       1.915159194437e-03       2.079762132163e+03 
       1.959768982770e-03       2.122223792465e+03 
       2.005417866557e-03       2.165421899672e+03 
       2.052130049443e-03       2.209362666037e+03 
